"","sourcePath","transactionId","totalConversions"
"170","bestedu.pl > onet.pl > (direct)","1a70e613aab1a7f4468a7ea71fef2dbb",1
"171","bestedu.pl > onet.pl > (direct)","db3269dcfafc3f03f8539b8aa441f145",1
"172","bestedu.pl > onet.pl > (direct) > google","60c1ad63fbc8881a66495eb104dfa6a9",1
"173","bestedu.pl > onet.pl > (direct) > google > onet.pl","3b79845fd5657ada3f43944fe88bd040",1
"174","bestedu.pl > onet.pl > (direct) > google > google > google","3b79845fd5657ada3f43944fe88bd040",1
"175","bestedu.pl > onet.pl > (direct) > google > bestedu.pl > bestedu.pl","3b79845fd5657ada3f43944fe88bd040",1
"176","bestedu.pl > onet.pl > (direct) > google > bestedu.pl > bestedu.pl > bestedu.pl > google","3b79845fd5657ada3f43944fe88bd040",1
"177","bestedu.pl > onet.pl > (direct) > (direct)","5d4e66ac6deec44375b2751498a1bfbb",1
"178","bestedu.pl > onet.pl > (direct) > (direct)","a8de6738c6c5d960372d2acb26ee8829",1
"179","bestedu.pl > onet.pl > (direct) > (direct) > (direct) > (direct) > (direct) > (direct) > (direct) > (direct)","3b79845fd5657ada3f43944fe88bd040",1
"180","bestedu.pl > onet.pl > (direct) > (direct) > bestedu.pl > onet.pl > bestedu.pl > onet.pl > (direct) > bestedu.pl > onet.pl","3b79845fd5657ada3f43944fe88bd040",1
"181","bestedu.pl > onet.pl > (direct) > bestedu.pl > bestedu.pl > bestedu.pl > bestedu.pl > bestedu.pl > bestedu.pl > bestedu.pl","3b79845fd5657ada3f43944fe88bd040",1
"182","bestedu.pl > onet.pl > bestedu.pl","40135e636553a604db3c03a7478180c6",1
"183","bestedu.pl > onet.pl > bestedu.pl","6bac284c3f50979a731a6d2dbc7c2f0d",1
"184","bestedu.pl > onet.pl > bestedu.pl > onet.pl > (direct) > bestedu.pl > onet.pl > bestedu.pl > bestedu.pl > onet.pl > bestedu.pl > onet.pl","3b79845fd5657ada3f43944fe88bd040",1
